Activity ID,Data Element ID,Data Element Label,Description and Definition,Multiple Choice Type (if applicable),Data Type,Input Options,Calculation,Quantity Sub-Type,Validation Condition,Editable,Required,Skip Logic,Linkages to Aggregate Indicators,Notes,ICD-11 Code,ICD-11 URI,ICD-11 Comments / Considerations,ICD-11 Relationship,ICD-10 Code,ICD-10 Comments / Considerations,ICD-10 Relationship,ICD-9 Code,ICD-9 Comments / Considerations,ICD-9 Relationship,LOINC version 2.68 Code,LOINC version 2.68 Comments / Considerations,LOINC version 2.68 Relationship,ICHI (Beta 3) Code,ICHI URI,ICHI Comments / Considerations,ICHI Relationship,ICF Code,ICF Comments / Considerations,ICF Relationship,SNOMED GPS Code,SNOMED GPS Code Comments Considerations,SNOMED GPS Relationship,SNOMED CT International Version Code,SNOMED CT International Version Comments / Considerations,SNOMED CT Relationship,HL7 FHIR R4 - Resource,HL7 FHIR R4 - Values,HL7 FHIR R4 Code,HL7 FHIR R4 Relationship,ICD-11 Description,WHO ATC Code,WHO ATC Name,Origin Tab
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE50,Number of months since last COVID-19 Negative lab test result,The number of months elapsed since the first dose of the HPV product was administered to the client,,Quantity,,,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE1,Status,The current status of the immunization event,Select one,Coding,,,,Must be a status code,Yes,R,,"IMMZ.IND.1 - IMMZ.IND.22, IMMZ.IND.29 - IMMZ.IND.49 IMMZ.IND.56 - IMMZ.IND.63",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,263490005,Status (attribute),Equivalent,Immunization.status,"Completed, Entered in Error, Not Done",,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Completed,The event has now concluded.,Input Option,Codes,Completed,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,182992009,Treatment completed (situation),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Entered in Error,"This electronic record should never have existed, though it is possible that real-world decisions were based on it.",Input Option,Codes,Entered in Error,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,723510000,Entered in error (qualifier value),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Not Done,The event was terminated prior to any activity beyond preparation.,Input Option,Codes,Not Done,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,385660001,Not done (qualifier value),Equivalent,90351000000000,Vaccination not done (situation),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE2,Reason vaccine was not administered,The reason this immunization event was not performed. This is generally only used if the 'Status' field carried a status of 'Not Done'. The reason for performing the immunization event is captured in the 'Status' field.,Select one,Coding,,,,Must be a status reason code,Yes,C,"Skip if status != ""Not Done""",,,QC04,,See subcategory content below,,Z28,See subcategory content below,,Not classifiable in ICD-9,"Any ICD-9 diagnosis may appear, but cannot be linked to this data element (i.e., the reason the immunization event was not performed)",,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,429684009,Reason for nonvaccination (observable entity),Equivalent,Immunization.statusreason,"immunity, medical precaution, product out of stock, patient objection",,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Immunity,Testing has shown that the patient already has immunity to the agent targeted by the immunization.,Input Option,Codes,Immunity,,,,Yes,R,,,,QC04.Y Immunization not carried out for other reasons,No URI for residuals,Index term under .Y,Source is narrower than target,Z28.8 Immunization Not carried out for other reasons,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,191441008,"Acquired immunity, function (observable entity)",Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Medical precaution,The patient currently has a medical condition for which the vaccine is contraindicated or for which precaution is warranted.,Input Option,Codes,Medical precaution,,,,Yes,R,,,,QC04.Y Immunization not carried out for other reasons,No URI for residuals,Index term under .Y,Source is narrower than target,Z28.0 Immunization not carried out because of contraindication,,Related to,V640,Vaccination not carried out because of contraindication,Related to,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,103306004,Contraindication to (contextual qualifier) (qualifier value),Source is broader than target,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Product out of stock,There was no supply of the product on hand to perform the service.,Input Option,Codes,Product out of stock,,,,Yes,R,,,,QC04.7 Immunization not carried out due to lack of availability,http://id.who.int/icd/entity/300485628,,Source is narrower than target,Z28.8 Immunization Not carried out for other reasons,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,182856006,Drug not available - out of stock (finding),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Patient objection,The patient or their guardian objects to receiving the vaccine.,Input Option,Codes,Patient objection,,,,Yes,R,,,,QC04.5 Immunization not carried out because of patient refusal,http://id.who.int/icd/entity/583273619,Patient refusal,Equivalent,Z28.2 Immunization not carried out because of patient's decision for other and unspecified reasons,,Source is narrower than target,V642,Surgical or other procedure not carried out because of patient's decision,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,5.91E+11,Vaccine refused by patient (situation),Equivalent,591000000000,Vaccine declined by patient (situation),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Caregiver Refusal,The patient's caregiver refused the vaccine,Input Option,Codes,Caregiver Refusal,,,,Yes,R,,,,QC04.6 Immunization not carried out because of caregiver refusal,http://id.who.int/icd/entity/118051153,Caregiver refusal,Equivalent,Z28.8 Immunization Not carried out for other reasons,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,871879005,Vaccination hesitancy by parent (situation),Related to,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Unspecified objection,The immunization event was not carried out for an unspecified reason,Input Option,Codes,Unspecified objection,,,,Yes,R,,,,QC04.Z Immunization not carried out for unspecified reason,No URI for residuals,Unspecified reason,Equivalent,Z28.9 Immunization not carried out for unspecified reason,,Equivalent,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Patient allergy to vaccine or component,The immunization event was not carried out because of patient allergy to vaccine or component,Input Option,Codes,Patient allergy to vaccine or component,,,,Yes,R,,,,QC04.4 Immunization not carried out because of patient allergy to vaccine or component,http://id.who.int/icd/entity/472002267,patient allergy to vaccine or component,Equivalent,Z28.0 Immunization not carried out because of contraindication,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Patient is immuno-compromised,The immunization event was not carried out because the patient is immuno-compromised,Input Option,Codes,Patient is immuno-compromised,,,,Yes,R,,,,QC04.3 Immunization not carried out because of immune-compromised state of patient,http://id.who.int/icd/entity/1200706488,immune-compromised state of patient,Equivalent,Z28.0 Immunization not carried out because of contraindication,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,370388006,Patient immunocompromised (finding),Equivalent,370388006,Patient immunocompromised (finding),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Chronic illness or condition,The immunization event was not carried out due a chronic illness or condition of the patient,Input Option,Codes,Chronic illness or condition,,,,Yes,R,,,,QC04.2 Immunization not carried out because of chronic illness or condition of patient,http://id.who.int/icd/entity/1650200188,chronic illness or condition of patient,Equivalent,Z28.0 Immunization not carried out because of contraindication,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,39104002,Illness (finding),Source is narrower than target,39104002,Illness (finding),Source is narrower than target,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Acute illness,The immunization event was not carried out due to an acute illness present in the patient,Input Option,Codes,Acute illness,,,,Yes,R,,,,QC04.1 Immunization not carried out because of acute illness,http://id.who.int/icd/entity/679809409,acute illness,Equivalent,Z28.0 Immunization not carried out because of contraindication,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,39104002,Illness (finding),Source is narrower than target,39104002,Illness (finding),Source is narrower than target,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Patient acquired the disease,The immunization event was not carried out due to the patient acquiring a disease,Input Option,Codes,Patient acquired the disease,,,,Yes,R,,,,QC04.0 Immunization not carried out due to patient having had the disease,http://id.who.int/icd/entity/1498576014,patient having had the disease,Equivalent,Z28.0 Immunization not carried out because of contraindication,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Immunization not carried out for other reasons,The immunization event was not carried out for other reasons,Input Option,Codes,Immunization not carried out for other reasons,,,,Yes,R,,,,QC04.Y Immunization not carried out for other reasons,No URI for residuals,Index religious beliefs,Equivalent,Z28.1 Immunization not carried out because of patient's decision for reasons of belief or group pressure,,Source is broader than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE3,Vaccine brand,The brand or trade name used to refer to the vaccine received.,Select one,Coding,As defined by Member State,,,Must be a vaccine brand,Yes,R,,,"This data element can be predetermined by a vaccine product registry. If vaccine registry is unavailable, we can capture this as a string.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE4,Vaccine Code,"Vaccine type/category that was administered or was to be administered. A SNOMED GPS, ATC, or Absent or Unknown code is required for the vaccine.",Select one,Coding,As defined in IMMZ.Z Vaccine Library,,,Must be a vaccine code,Yes,R,,"IMMZ.IND.1 - IMMZ.IND.22,IMMZ.IND.27, IMMZ.IND.29 - IMMZ.IND.49, IMMZ.IND.56 - IMMZ.IND.63","A product code from GPS, ATC, or absent value must be entered",Not classifiable in ICD-11,http://id.who.int/icd/entity/164949870,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,39236-5,Long common name: Vaccine code (CPT) CPHS,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,787859002,Vaccine product (medicinal product),Source is broader than target,787859002,Vaccine product (medicinal product),Source is broader than target,Immunization.vaccineCode,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,SNOMED GPS Code,The SNOMED International Global Patient Set Product code,Input Option,Coding,List of SNOMED GPS vaccine codes available in IMMZ.Z Vaccine Library,,,Product code must be a SNOMED GPS Code,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode:vaccineGPSCode,http://hl7.org/fhir/uv/ips/ValueSet/vaccines-gps-uv-ips,http://hl7.org/fhir/uv/ips/ValueSet/vaccines-gps-uv-ips,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,ATC Class,Anatomic Theraputic Chemical coding system,Input Option,Coding,List of WHO ATC vaccine codes available in IMMZ.Z Vaccine Library,,,Product code must be an ATC Code,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.vaccineCode.atcClass,http://hl7.org/fhir/uv/ips/ValueSet/whoatc-uv-ips,http://hl7.org/fhir/uv/ips/ValueSet/whoatc-uv-ips,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Absent or Unknown Immunization,A reference to a code indicating that there there are no known immunizations or that this information is unknown.,Input Option,Codes,Absent or Unknown Immunization,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,2667000,Absent (qualifier value),Source is broader than target,2667000,Absent (qualifier value),Source is broader than target,Immunization.vaccineCode:absentOrUnknownImmunization,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE5,Date and time of vaccination,The date and time when the vaccine was administered to the patient.,,DateTime,,,,Must be a date and time value,Yes,R,,"IMMZ.IND.1 - IMMZ.IND.22, IMMZ.IND.27, IMMZ.IND.29 - IMMZ.IND.49 IMMZ.IND.56 - IMMZ.IND.63",Compatible with HL7 FHIR date https://www.hl7.org/fhir/datatypes.html#dateTime (e.g. YYYY-MM-DDThh:mm:ss+zz:zz),Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30952-6,Long common name: Date and time of vaccination,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,7241000000000,Date of vaccination (observable entity),Equivalent,Immunization.occurrence,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE6,Vaccine administration location,"The service delivery location where the vaccine administration occurred. This references a physical location (country, facility, site, etc.) describing where the vaccination event occured",,ID,,,,Must be a reference to an existing location,Yes,O,,"IMMZ.IND.1 - IMMZ.IND.22, IMMZ.IND.27, IMMZ.IND.29 - IMMZ.IND.49 IMMZ.IND.56 - IMMZ.IND.63",This data element can also be predetermined by a Member State's health facility registry.,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,72060-7,Long common name: Where was vaccine received,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,246267002,Location (attribute),Source is narrower than target,Immunization.location,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE7,Vaccine manufacturer,The manufacturer of the vaccine product,,String,,,,Must be a manufacturer,Yes,R,,IMMZ.IND.27,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30957-5,Long common name: Manufacturer name [Identifier] Vaccine,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.manufacturer,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE8,Vaccine batch number,Batch number or lot number of vaccine.,,String,,,,Must be a manufacturer's lot number,Yes,O,,IMMZ.IND.27,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30959-1,Long common name: Lot number [Identifier] Vaccine,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,Immunization.lotNumber,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE9,Vaccine market authorization holder,"Name of the market authorization holder of the vaccine received. If market authorization holder is unknown, vaccine manufacturer is REQUIRED.",Select one,Coding,,,,Must be a market authorization holder,Yes,R,,,As defined by Member State,Not classifiable in ICD-12,,,,Not classifiable in ICD-11,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE10,Expiration date,The expiration date of the vaccine,,Date,,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,74066-2,Long common name: Expiration Date of Medication [AHRQ],Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,427416004,Therapeutic substance expiration date (observable entity),Equivalent,Immunization.expirationDate,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE11,Site administered,The body site where vaccine was administered.,,String,,,,Must be a body site,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,31034-2,Long common name: Vaccination body site,Equivalent,Not classifiable in ICHI,,"Depends on route, could add extension code. See sepcific anatomic details in ICHI extension codes",,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,39801007,Application site (body structure),Equivalent,Immunization.site,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE12,Route of administration,The route of delivery of the vaccine into the body,Select one,Coding,,,,Must be a route code,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30958-3,Long common name: Route [Identifier] Vaccine administered,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,410675002,Route of administration (attribute),Equivalent,410675002,Route of administration (attribute),Equivalent,Immunization.route,https://www.hl7.org/fhir/valueset-immunization-route.html,http://hl7.org/fhir/ValueSet/immunization-route,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Percutaneous,Administered by scarring or scratching the skin,Input Option,Codes,Percutaneous,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,"DTB.DB.AE Percutaneous administration of immunological agent, not elsewhere classified",http://id.who.int/ichi/entity/1216934574,Percutaneous,Equivalent,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Oral,"Administered orally, by mouth",Input Option,Codes,Oral,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,DTB.DB.AC Oral administration of immunological,http://id.who.int/ichi/entity/1490896210,Oral,Equivalent,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Intravenous,Administered directly into a vein,Input Option,Codes,Intravenous,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,DTB.DB.AF Intravenous administration of immunological agent,http://id.who.int/ichi/entity/221792245,Intravenous,Equivalent,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Topical,"Administered topically, applied to the skin",Input Option,Codes,Topical,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,DTB.DB.AH Topical application of immunological agent,http://id.who.int/ichi/entity/562675117,Topical,Equivalent,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Intravesical,Administered directly inot the bladder via a catheter,Input Option,Codes,Intravesical,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,DTB.DB.AD Intravesical administration of immunological agent,http://id.who.int/ichi/entity/2135901673,Intravesical,Equivalent,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE13,Dose Quantity,The quantity of vaccine product that was administered.,,Quantity,,,Decimal Quantity,Must be positive decimal value greater than zero (>0.00),Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,82745-1,Long common name: Doses of vaccine given [#]--per symptom onset,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,398232005,Drug dose (finding),Equivalent,Immunization.doseQuantity,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE14,Performer,"The person, organization, or role of the entity that performed the act of giving the vaccine to the patient. The implementing system can choose to populate this field using data from a Health Worker Registry or Health Facility Registry.",,ID,,,,Minimum and maximum number of characters based on local policy,Yes,O,,,This field could be a reference to the Practitioner record,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,420158005,Performer of method (person),Equivalent,Immunization.performer.actor,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,IMMZ.G1.DE15,Reason for vaccination,Reasons why the vaccine was administered.,Select one,Coding,,,,Must be a reason code,Yes,O,,,,QC00-QC03,,"Mulitple codes options to capture this detail, would be broken into subcategories",,Z23-Z27 Codes,"Mulitple codes options to capture this detail, would be broken into subcategories",,V03-V06,"Mulitple codes options to capture this detail, would be broken into subcategories",,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,410665000,Indication for (attribute),Equivalent,Immunization.reasonCode,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,In need of vaccination,The individual is within the appropriate time window and requires immunity against the disease for which there is a vaccine available,Input Option,Codes,In need of vaccination,,,,Yes,O,,,,"QC02.Z Need for immunization against certain specified single infectious diseases, unspecified",No URI for residuals,"Z residual includes ""Need for immunization NOS"". Codes are specific to bacterial, viral, infectious or combination of those diseases. There isn't a need for unspecified vaccination code.",Equivalent,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,122541000000000,Vaccination needed (situation),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Requires vaccination,The individual is within the appropriate time window and requires immunity against the disease for which there is a vaccine available,Input Option,Codes,Requires vaccination,,,,Yes,O,,,,"QC02.Z Need for immunization against certain specified single infectious diseases, unspecified",No URI for residuals,"Z residual includes ""Need for immunization NOS"". Codes are specific to bacterial, viral, infectious or combination of those diseases. There isn't a need for unspecified vaccination code.",Source is broader than target,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,723620004,Requires vaccination (finding),Equivalent,723620004,Requires vaccination (finding),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Need for immunization against cholera alone,The individual is within the appropriate time window and requires immunity againstcholera alone,Input Option,Codes,Need for immunization against cholera alone,,,,Yes,O,,,,QC00.0 Need for immunization against cholera alone,http://id.who.int/icd/entity/1119330136,,Equivalent,Z23.0 Need for immunization against cholera alone,,Equivalent,V03.0,Need for prophylactic vaccination and inoculation against cholera alone,Equivalent,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,170547009,Requires a course of cholera vaccination (finding),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Need for immunization against typhoid-paratyphoid alone,The individual is within the appropriate time window and requires immunity against typhoid-paratyphoid alone,Input Option,Codes,Need for immunization against typhoid-paratyphoid alone,,,,Yes,O,,,,QC00.1 Need for immunization against typhoid-paratyphoid alone,http://id.who.int/icd/entity/847921176,,Equivalent,Z23.1 Need for immunization against typhoid-paratyphoid alone [TAB],,Equivalent,V03.1,Need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [TAB],Equivalent,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,170540006,Requires typhoid vaccination (finding),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Need for vaccination against typhoid and paratyphoid (finding),The individual is within the appropriate time window and requires immunity against typhoid and paratyphoid,Input Option,Codes,Need for vaccination against typhoid and paratyphoid (finding),,,,Yes,O,,,,QC00.1 Need for immunization against typhoid-paratyphoid alone,http://id.who.int/icd/entity/847921176,,Equivalent,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,789034003,Requires vaccination against typhoid and paratyphoid (finding),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
IMMZ.G1.Administer Vaccine,,Need for immunization against tuberculosis,The individual is within the appropriate time window and requires immunity against tuberculosis,Input Option,Codes,Need for immunization against tuberculosis,,,,Yes,O,,,,QC00.2 Need for immunization against tuberculosis,http://id.who.int/icd/entity/1176965351,,Equivalent,Z23.2 Need for immunization against tuberculosis [BCG],,Equivalent,V03.2,Need for prophylactic vaccination and inoculation against tuberculosis [BCG],Equivalent,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,429069001,Requires Bacillus Calmette-Guerin vaccination (finding),Equivalent,,,,,,,,IMMZ.G Administer Vaccine
