activity_id,data_element_id,data_element_label,description_and_definition,multiple_choice_type_if_applicable,data_type,input_options,calculation,quantity_subtype,validation_condition,editable,required,explain_conditionality,linkages_to_aggregate_indicators,notes,icd11code,icd11uri,icd11comments__considerations,icd11_relationship,icd10code,icd10comments__considerations,icd10_relationship,loinc_version_268code,loinc_version_268comments__considerations,loinc_relationship,ichi_beta_3code,ichiuri,ichicomments__considerations,ichi_relationship,icfcode,icfcomments__considerations,icf_relationship,snomed_gps_code,snomed_gps_comments_considerations,snomed_gps_relationship,relevant_antigens,Origin Tab
IMMZ.D13.Update client record,IMMZ.D.DE16,Had the disease,The immunization event was not carried out due to the client having had the disease,Input Option,Codes,Had the disease,,,,Yes,,,,,QC04.0,http://id.who.int/icd/entity/1498576014,Code title: Immunization not carried out due to patient having had the disease,Equivalent,Z28.0,Code title: Immunization not carried out because of contraindication,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE17,Immunization not carried out for other reasons,The immunization event was not carried out for other reasons,Input Option,Codes,Immunization not carried out for other reasons,,,,Yes,,,,,QC04.Y,No URI for residuals,Code title: Immunization not carried out for other reasons,Equivalent,Z28.1,Code title: Immunization not carried out because of patient's decision for reasons of belief or group pressure,Source is broader than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE18,Vaccine brand,The brand or trade name used to refer to the vaccine received,Select one,Coding,As defined by Member State,,,,Yes,R,,,"This data element can be predetermined by a vaccine product registry. If vaccine registry is unavailable, we can capture this as a string.",Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE173,Live attenuated vaccine,Uses a living but weakened version of the virus or one thats very similar,,Boolean,Yes/No,,,,Yes,O,,,This data element is a vaccine attribute,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
"IMMZ.D1.Capture client history
OR
IMMZ.D13.Update client record",IMMZ.D.DE19,Vaccine type,Vaccine type/category that was administered or was to be administered. Any vaccine code available in the IMMZ.Z Vaccine Library list of codes applies in this data element,Select one,Coding,As defined in IMMZ.Z Vaccine Library,,,,Yes,R,,"IMMZ.IND.01-24, IMMZ.IND.31-39",A product code from the list of codes defined in the vaccine library can be used here.,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,39236-5,Long common name: Vaccine code (CPT) CPHS,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,787859002,Code title: Vaccine product (medicinal product),Source is broader than target,,IMMZ.D Administer vaccine
"IMMZ.D1.Capture client history
OR
IMMZ.D13.Update client record",IMMZ.D.DE20,Date and time of vaccination,"Represents the visit/encounter date, which is the date and time when the vaccine was administered to the client",,DateTime,,,,Must be a date and time value,Yes,R,,"IMMZ.IND.01-24, IMMZ.IND.29, IMMZ.IND.31, IMMZ.IND.33, IMMZ.IND.35, IMMZ.IND.37-39",Compatible with HL7 FHIR dateTime https://www.hl7.org/fhir/datatypes.html#dateTime (e.g. YYYY-MM-DDThh:mm:ss+zz:zz),Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,30952-6,Long common name: Date and time of vaccination,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE21,Country of vaccination,The service delivery country where the vaccine administration occurred,Select one,Coding,,,,ISO 3166-1 alpha-3 (or numeric),Yes,R,,,ISO 3166-1 alpha-3 (or numeric),Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE22,Vaccination location,The service delivery location where the vaccine administration occurred,Select one,Coding,As defined by Member State,,,,Yes,O,,IMMZ.IND.38-39,This data element can also be predetermined by a Member State's health facility registry.,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,72060-7,Long common name: Where was vaccine received,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE23,Vaccine manufacturer,The manufacturer of the vaccine product,Select one,Coding,As defined by Member State,,,,Yes,R,,,"This data element can be predetermined by a vaccine product registry. If vaccine registry is unavailable, can be captured as a string.",Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,30957-5,Long common name: Manufacturer name [Identifier] Vaccine,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE24,Vaccine batch number,Batch number or lot number of vaccine,,String,As defined by Member State,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,30959-1,Long common name: Lot number [Identifier] Vaccine,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE25,Vaccine market authorization holder,"Name of the market authorization holder of the vaccine received. If market authorization holder is unknown, vaccine manufacturer is REQUIRED",Select one,Coding,As defined by Member State,,,,Yes,R,,,"This data element can be predetermined by a vaccine product registry. If vaccine registry is unavailable, can be captured as a string.",Not classifiable in ICD-11,,,,Not classifiable in ICD-11,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE26,Expiration date,The expiration date of the vaccine,,Date,,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,74066-2,Long common name: Expiration Date of Medication [AHRQ],Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE34,Dose quantity,The quantity of vaccine product that was administered,,Quantity,,,Decimal Quantity,Must be positive decimal value greater than zero (>0.00),Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,82745-1,Long common name: Doses of vaccine given [#]--per symptom onset,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE35,Health worker identifier,"The person, organization, or role of the entity that performed the act of giving the vaccine to the client. The implementing system can choose to populate this field using data from a health worker registry or health facility registry",,ID,,,,Minimum and maximum number of characters based on local policy,Yes,O,,,This field could be a reference to the Practitioner record,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
"IMMZ.D1.Capture client history
 OR
 IMMZ.D13.Update client record",IMMZ.D.DE124,Dose number,Vaccine dose number including dose number within series,,Quantity,,,Integer,Must be an integer greater than or equal to zero (>=0),Yes,O,,"IMMZ.IND.03, IMMZ.IND.13-15, IMMZ.IND.17-24, IMMZ.IND.33, IMMZ.IND.35, IMMZ.IND.37, IMMZ.IND.39",This field can also be calculated as defined by member states,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE125,Total doses in series,The recommended number of doses for immunity according to the national protocol,,Quantity,,,Integer,Must be positive integer greater than zero (>0),Yes,O,,,This data element can also be predetermined by a vaccine product registry.,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE126,Disease targeted,Vaccine preventable disease being targeted,Select all that apply,Coding,,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE129,Measles,The vaccine preventable disease being targeted is measles,Input Option,Codes,Mealses,,,,Yes,,,,,1F03,http://id.who.int/icd/entity/1826431497,Code title: Measles,Equivalent,B05,Code title: Measles,Equivalent,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,14189004,Code title: Measles (disorder),Equivalent,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE149,Due date of next dose,"Date on which the next vaccination should be administered, if a next dose is required",,Date,,,,,Yes,O,,,Compatible with HL7 FHIR date https://www.hl7.org/fhir/datatypes.html#date (e.g. YYYY-MM-DD),Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D18.Determine time for next visit,IMMZ.D.DE185,Date/time of follow-up appointment,Date the patient is to return for next vaccination,,DateTime,,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,185353001,Appointment date (finding),Source is narrower than target,,IMMZ.D Administer vaccine
IMMZ.D18.Determine time for next visit,IMMZ.D.DE186,Recommended follow-up date,Date when follow-up is recommended based on vaccination schedule,,Date,,Decision logic,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,39289-4,"Code LongName: Follow-up (referred to) provider /specialist, appointment date CPHS",Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,410671006,Date (attribute),Source is narrower than target,,IMMZ.D Administer vaccine
IMMZ.D19.1.Does client require digital certificate,IMMZ.D.DE150,Digital certificate needed,Indicates if a digital certificate is required,,Boolean,Yes/No,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D19.2.Generate Digital Certificate,IMMZ.D.DE151,Certificate issuer,The authority or authorized organization that issued the vaccination certificate,,String,,,,,Yes,C,Required if input in IMMZ.D.DE151 Digital certificate needed is Yes,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D19.2.Generate Digital Certificate,IMMZ.D.DE152,Health Certificate Identifier (HCID),Unique identifier used to associate the immunization event represented in a paper vaccination card to its digital representation(s),,ID,,,,,Yes,C,Required if input in IMMZ.D.DE151 Digital certificate needed is Yes,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D19.2.Generate Digital Certificate,IMMZ.D.DE153,Certificate valid from,Date in which the certificate for an immunization event became valid.  No health or clinical inferences should be made from this date,,DateTime,,,,,Yes,C,Required if input in IMMZ.D.DE151 Digital certificate needed is Yes,,"Compatible with HL7 FHIR dateTime with time zone specified
https://www.hl7.org/fhir/datatypes.html#dateTime",Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D19.2.Generate Digital Certificate,IMMZ.D.DE154,Certificate valid until,Last date in which the certificate for an immunization event is valid. No health or clinical inferences should be made from this date,,DateTime,,,,,Yes,C,Required if input in IMMZ.D.DE151 Digital certificate needed is Yes,,"Compatible with HL7 FHIR dateTime with time zone specified
https://www.hl7.org/fhir/datatypes.html#dateTime",Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D19.2.Generate Digital Certificate,IMMZ.D.DE155,Certificate schema version,Version of the core data set and HL7 Fast Health Interoperability Resrouces (FHIR) Implementation Guide that the certificate is using,,String,,,,,Yes,C,Required if input in IMMZ.D.DE151 Digital certificate needed is Yes,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.I2.Generate report,IMMZ.I.DE18,Report subject area,Location (vaccination location or place) for which the data in the report is being represented,,ID,,,,Minimum and maximum number of characters based on local policy,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE20,Reporting period start date,The start date of the reporting period for which data in the report has been included,,Date,,,,Must be a date value,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE21,Reporting period end date,The end date of the reporting period for which data in the report has been included,,Date,,,,Must be a date value,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE30,Disaggregation group,"Indicates the overall strata or disaggregation which is being represented in the report (e.g. by gender, by region, by age group, etc.)",Select one,Coding,,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE31,By-Sex,A disaggregation grouped by the indicator population's sex values,Input Option,Codes,By-Sex,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE32,By-Administrative Area,A disaggregation grouped by the indicator population's administrative regions/ areas,Input Option,Codes,By-Administrative Area,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE33,By-Age group,A disaggregation grouped by the indicator population's age groups,Input Option,Codes,By-Age group,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE34,By-Dose number,A disaggregation grouped by the indicator population's dose numbers for a specific vaccine,Input Option,Codes,By-Dose number,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE35,By-Vaccine type,A disaggregation grouped by the indicator population's vaccine types,Input Option,Codes,By-Vaccine type,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE36,By-Vaccine manufacturer,A disaggregation grouped by the indicator population's vaccine manufacturers for a specific vaccine,Input Option,Codes,By-Vaccine manufacturer,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE37,By-Reaction manifestation,A disaggregation grouped by the indicator population's reaction manifestations for a specific vaccine,Input Option,Codes,By-Reaction manifestation,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.I2.Generate report,IMMZ.I.DE39,By-Type of reaction,A disaggregation grouped by the indicator population's type of reaction for a specific vaccine,Input Option,Codes,By-Type of reaction,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE40,Number of doses per vial,The number of doses contained within a vial,,Quantity,,,Integer Quantity,Must be positive decimal value greater than zero,Yes,O,,"IMMZ.IND.25, IMMZ.IND.26",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE41,Initial balance,The initial quantity of vials in stock at the beginning of a specific reporting period,,Quantity,,,Integer Quantity,Must be positive decimal value greater than zero,Yes,O,,IMMZ.IND.25,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE42,Closing balance,The quantity of vials in stock at the end of a specific reporting period,,Quantity,,,Integer Quantity,Must be positive decimal value greater than zero,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE43,Administered doses,"The quantity of vials that have been administered to clients, during a specified time frame",,Quantity,,,Integer Quantity,Must be positive decimal value greater than zero,Yes,O,,IMMZ.IND.26,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE44,Stock opened,"The quantity of vials that were opened, during a specific period",,Quantity,,,Integer Quantity,Must be positive decimal value greater than zero,Yes,O,,IMMZ.IND.26,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE45,Stock received,"The quantity of vials that have been received from external sources, such as suppliers, during a specific period",,Quantity,,,Integer Quantity,Must be positive decimal value greater than zero,Yes,O,,IMMZ.IND.25,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE47,Closed stock discarded,"The quantity of vials that were not opened and have been wasted or discarded due to expiration or other reasons, during a specific period",,Quantity,,,Integer Quantity,Must be positive decimal value greater than zero,Yes,O,,IMMZ.IND.25,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE48,Closed stock discarded type,Specific reason for the disposal of vaccine,Select one,Coding,,,,,Yes,C,Required if there is input in IMMZ.I.DE50 Closed stock discarded,IMMZ.IND.25,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE49,Broken/ Damaged,"The vaccine is physically damaged or broken, rendering it unsuitable for use.",Input Option,Codes,Broken/ Damaged,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE50,Expired product,The vaccine has reached its expiration date and is no longer safe or effective for use.,Input Option,Codes,Expired product,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE51,Cold storage malfunction,"There has been a malfunction or failure in the cold storage equipment, which has led to the degradation of the vaccine.",Input Option,Codes,Cold storage malfunction,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE52,Vaccine vial monitor status change,"The vaccine vial monitor has indicated a change in status, possibly indicating that the vaccines may no longer be viable.",Input Option,Codes,Vaccine vial monitor status change,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
"IMMZ.I1.Define parameters for report
 OR
 IMMZ.I2.Generate Report",IMMZ.I.DE53,Frozen,"Vaccine has been exposed to freezing temperatures, making it unsuitable for use as freezing can affect the integrity and efficacy of certain immunization products.",Input Option,Codes,Frozen,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.I Report Generation
IMMZ.Z.Vaccine Library,IMMZ.Z.DE9,Measles vaccines,Vaccine terminology codes for measles,,Coding,,,,,Yes,O,,"IMMZ.IND.05, IMMZ.IND.40, IMMZ.IND.20, IMMZ.IND.21",,,,,,,,,,,,,,,,,,,,,,,Processed Library Data
